"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_dpf_sign_up_qr_type[-Default-wifi_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:05:18 GMT 2025","broken","Sat Jan 04 02:05:18 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","0","Test CFF sign up with apps_qr_create and resolution A0","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:14:26 GMT 2025","broken","Sat Jan 04 02:14:26 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for vcard_qr_create with Default resolution","tests.tests_nsf_flow","Sat Jan 04 01:53:22 GMT 2025","broken","Sat Jan 04 01:53:22 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for image_qr_create with 1024x1024 resolution","tests.tests_nsf_flow","Sat Jan 04 02:01:00 GMT 2025","broken","Sat Jan 04 02:01:00 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","0","Test CFF sign up with social_media_qr_create and resolution A3","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:04:59 GMT 2025","broken","Sat Jan 04 02:04:59 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for whatsapp_qr_create with 1024x1024 resolution","tests.tests_nsf_flow","Sat Jan 04 01:59:38 GMT 2025","broken","Sat Jan 04 01:59:38 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for facebook_qr_create with 2048x2048 resolution","tests.tests_nsf_flow","Sat Jan 04 02:01:38 GMT 2025","broken","Sat Jan 04 02:01:38 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for menu_digital_qr_create with 2048x2048 resolution","tests.tests_nsf_flow","Sat Jan 04 02:00:57 GMT 2025","broken","Sat Jan 04 02:00:57 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-Default-vcard_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:05:18 GMT 2025","broken","Sat Jan 04 02:05:18 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","0","Test CFF sign up with instagram_qr_create and resolution A1","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:10:24 GMT 2025","broken","Sat Jan 04 02:10:24 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
